id,medium,url,headline,kicker,teaser,llm_topic
130,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/freibad-schwimmbad-randale-101.html,Angstmache am Beckenrand,Freibäder in Berlin,"Glaubt man Berichten im Netz und in einigen Medien, kann man Freibäder in Berlin kaum noch betreten. Die AfD veröffentlichte nun ein Video über ein angebliches ""Chaosbad"". Betreiber und Polizei widersprechen.",Kriminalität in Freibädern
241,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/wie-rede-ich-mit-freunden-und-familie-ueber-falschmeldungen,S2dGv0s",Wie rede ich mit Freunden und Familie über Falschmeldungen?,,Über Whatsapp oder auf der Straße – wohl die meisten von uns haben in der Corona-Krise schon zweifelhafte Informationen oder Verschwörungsmythen von Freunden oder Verwandten geschickt bekommen. Wie kann man damit umgehen? Ein #Faktenfuchs,Desinformation
101,correctiv,https://correctiv.org/faktencheck/2025/02/28/prognose-hochrechnung-ergebnis-immer-wieder-verwirrung-um-18-uhr-am-wahlabend/,"Prognose, Hochrechnung, Ergebnis: Immer wieder Verwirrung um 18 Uhr am Wahlabend",BUNDESTAGSWAHL 2025,"Wie schon bei vergangenen Wahlen wunderten sich Nutzerinnen und Nutzer über die Berichterstattung am Abend der Bundestagswahl: Wie kann um 18 Uhr das „Wahlergebnis“ feststehen, wenn die Stimmen noch nicht ausgezählt sind? Doch hier werden Prognosen und Ergebnisse durcheinandergeworfen.",Wahlberichterstattung
396,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/giftgas-syrien-desinformation-101.html,"Abstreiten, behindern, verwirren",Desinformation zu Giftgas in Syrien,Syrien und Russland weisen immer wieder Vorwürfe zum Einsatz von Giftgas durch das syrische Militär zurück und behindern Untersuchungen. Doch die Hinweise und Belege für solche Attacken sind vielfältig.,Chemiewaffen
108,br-faktenfuchs,"https://www.br.de/nachrichten/netzwelt/social-listening-die-power-des-aufmerksamen-zuhoerens,SQOJtEC",Social Listening: Die Power des aufmerksamen Zuhörens,,"Ob ein Eulen-Schwarm auf einem Straßenbaum im Lockdown oder Klarsicht-Masken, die nicht nur Stoffmasken-Träger beunruhigen: Themen, die in Bayern große Diskussionen auslösen, fallen zuerst im ""Social-Listening"" bei BR24 auf. So funktioniert es.",Social Listening
100,correctiv,https://correctiv.org/faktencheck/2025/02/28/bundestagswahl-2025-wie-muss-eine-wahlurne-verschlossen-sein/,Bundestagswahl 2025: Wie muss eine Wahlurne verschlossen sein?,BUNDESTAGSWAHL 2025,"Hartnäckig hält sich die Falschbehauptung, Wahlurnen müssten versiegelt sein. Zur Bundestagswahl 2025 kursierten Bilder von angeblich falsch verschlossenen Urnen in Nordrhein-Westfalen. Doch Wahlurnen brauchen nicht zwingend ein Siegel.",Wahlbetrug
516,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/was-sind-fake-news-101.html,Ältere besonders anfällig?,Verbreitung von Fake News,"Die Forscherin Pia Lamberty warnt im faktenfinder-Podcast, die ältere Generation werde übersehen, wenn es um die Bekämpfung von Fake News geht. Zudem müssten Medien klar benennen, was falsch sei.",Fake News
329,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/russland-ukraine-verluste-grafik-101.html,"Angaben zu Verlusten ""gänzlich unglaubwürdig""",Krieg gegen die Ukraine,Eine Grafik in den Sozialen Netzwerken listet die vermeintlichen Verluste der russischen und der ukrainischen Armee auf - und zeichnet vor allem für die Ukraine ein verheerendes Bild. Doch Experten halten die Zahlen für wenig glaubwürdig.,Ukraine-Krieg
495,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/israel-hamas-social-media-100.html,Warum pro-palästinensische Posts dominieren,Krieg in sozialen Netzwerken,"Seit dem Angriff der militant-islamistischen Hamas ist der Krieg in Nahost auch in den sozialen Netzwerken allgegenwärtig. Erste Analysen zeigen, dass die pro-palästinensische Seite dort deutlich die Oberhand besitzt.",Nahostkonflikt
503,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/analyse-demos-gegen-rechts-100.html,Wie die Proteste umgedeutet werden,Demos gegen Rechtsextremismus,"Die Demonstrationen gegen Rechtsextremismus gehören zu den größten Protestbewegungen seit Jahren. Betroffenen Kreisen passt das nicht. Sie versuchen, die ""Correctiv""-Recherche und die Demonstranten zu diskreditieren.",Rechtsextremismus
490,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/who-pandemievertrag-100.html,Woran es beim Pandemievertrag noch hakt,Geplantes WHO-Abkommen,Eigentlich sollte der Pandemievertrag der WHO Ende Mai verabschiedet werden - doch die Zeit drängt. Vor allem bei den Themen Verteilungsgerechtigkeit und Patentrechte liegen die Ansichten weit auseinander.,Pandemievertrag
442,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/hochwasser-klimawandel-102.html,"Mehr Wärme, mehr Wolken, mehr Regen",Hochwasser und Klimawandel,"Schon immer gab es extreme Hochwasserereignisse. Klimaskeptiker argumentieren deshalb, dass der Klimawandel nicht die Ursache sein kann. Doch das ist ein logischer Fehlschluss, sagen Experten.",Klimawandel
467,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/sonnencreme-hautkrebs-100.html,Wie gut schützt Sonnencreme vor Hautkrebs?,Mythen zum Thema Sonnenschutz,"Immer wieder heißt es, Sonnencreme würde nicht vor Hautkrebs schützen. Einige behaupten sogar, sie würde Hautkrebs fördern. Doch das ist falsch. Allerdings ist Sonnencreme allein nicht ausreichend.",Hautkrebs
433,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/sommerinterview-lindner-faktencheck-100.html,Das ARD-Sommerinterview mit Lindner im Faktencheck,FDP-Chef und Finanzminister,"Im ARD-Sommerinterview ist FDP-Chef Lindner vielen konkreten Fragen eher ausgewichen. Zu Verteidigungsausgaben, Klimageld und Missbrauch sozialer Leistungen äußerte er sich jedoch zumindest ungenau oder selektiv.",Sozialpolitik
441,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/hitze-gesundheit-102.html,"""Häufigkeit hat ganz klar zugenommen""",Hitze und Klimawandel,"Weil die Sterblichkeit im Winter höher als im Sommer ist, wird im Netz behauptet, dass Warnungen vor Hitze Panikmache seien. Zudem sei der Klimawandel nicht die Ursache für Hitzewellen. Doch das greift zu kurz.",Klimawandel
424,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/abschiebungen-handgeld-100.html,"Warum die Straftäter ""Handgeld"" bekommen",Abschiebung nach Afghanistan,"Die nach Afghanistan abgeschobenen Männer haben jeweils 1.000 Euro ""Handgeld"" erhalten. Das hat das niedersächsische Innenministerium bestätigt. Warum die Straftäter das Geld bekommen.",Abschiebung
420,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/israel-iran-fakes-100.html,Alte Bilder und Falschbehauptungen,Iranischer Angriff auf Israel,"Im Zusammenhang mit dem iranischen Angriff auf Israel werden im Netz alte Videos verbreitet, die in Moskau und China aufgenommen wurden. Auch über den israelischen Premier Netanyahu kursieren Falschbehauptungen.",Nahostkonflikt
401,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/trump-musk-wahl-100.html,Keine Hilfe für Trump aus dem All,Angebliche Wahlmanipulation,"Seit der Abwahl Trumps im Jahr 2020 streuen er und seine Anhänger das Gerücht, die Wahl sei manipuliert worden. Technische Manipulationen seines Anhängers Musk soll nun seine Wiederwahl ermöglicht haben. Beweise gibt es nicht.",Wahlmanipulation
