id,headline,kicker,teaser,url,topic
2,Berliner ÖPNV: Was tatsächlich rund um Pfefferspray gilt,FAKTENCHECK,Eine Verordnung des Berliner Senats soll angeblich seit 17. Juli 2025 Pfefferspray im Nahverkehr verbieten. Doch an den Regeln ändert sich kaum etwas.,https://correctiv.org/faktencheck/2025/08/01/berliner-oepnv-was-tatsaechlich-rund-um-pfefferspray-gilt-auf1-waffenverbot/,Kriminalität & Sicherheit
3,Hunderte nagelneue Audi verschrottet? Was hinter diesem viralen Video steckt,FAKTENCHECK,"Zu einem Video mit hunderten, angeblich zur Verschrottung aussortierten Audi-Fahrzeugen kursieren online verschiedene Mutmaßungen: Grund seien Sanktionen gegen Russland oder, dass der Hersteller die Preise nicht senken wolle. Was über das Video bekannt ist.",https://correctiv.org/faktencheck/2025/07/31/hunderte-nagelneue-audi-verschrottet-was-hinter-diesem-viralen-video-steckt/,Wirtschaft & Soziales
4,"Zahlen, die einen extremen Anstieg von Gewalttaten durch Zuwanderer zeigen sollen, sind falsch",FAKTENCHECK,"In Sozialen Netzwerken werden Daten aus der Polizeilichen Kriminalstatistik verbreitet. Eine Liste soll angeblich zeigen, dass es seit 2014 immer mehr Morde, Vergewaltigungen und Körperverletzungen in Deutschland gebe. Doch die Angaben sind irreführend, ein Teil davon ist sogar erfunden. Der Faktencheck zeigt, wie die Zahlen verdreht wurden.",https://correctiv.org/faktencheck/2025/07/30/zahlen-die-einen-extremen-anstieg-von-gewalttaten-durch-zuwanderer-zeigen-sollen-sind-falsch/,Migration & Asyl
5,Wie ein sächsischer AfD-Politiker ohne Belege Stimmung gegen queere Geflüchtete macht,FAKTENCHECK,"Ein sächsischer AfD-Politiker behauptet, „Whirlpool-Veranstaltungen“ queerer Afghanen seien mit 68.000 Euro aus Steuermitteln gefördert worden. Doch die Summe ist nirgends zu finden.",https://correctiv.org/faktencheck/2025/07/25/wie-ein-saechsischer-afd-politiker-ohne-belege-stimmung-gegen-queere-gefluechtete-macht/,Migration & Asyl
6,"ÖPNV in Essen: Diese Betrugsmasche steckt hinter dem Sechs-Monats-Ticket für 2,35 Euro",FAKTENCHECK,"Eine Fahrkarte für sechs Monate, die nur 2,35 Euro kosten soll: Dafür wirbt ein Facebook-Beitrag der Seite „ÖPNV Essen“. Hinter dem angeblichen Angebot steckt eine internationale Betrugsmasche, bei der es um Datendiebstahl geht.",https://correctiv.org/faktencheck/2025/07/24/essen-angebot-zu-angeblichem-vrr-jubilaeum-ist-gefaelscht/,Verbraucherthemen
7,"Fahrkarten für 2,35 Euro in Aachen? Warum diese Facebook-Anzeige nicht seriös ist",FAKTENCHECK,"Ein Facebook-Beitrag wirbt für eine Fahrkarte für nur 2,35 Euro, die sechs Monate in Aachen und Umgebung gelten soll. Das Angebot ist ein Trick, dahinter steckt eine internationale Betrugsmasche.",https://correctiv.org/faktencheck/2025/07/24/fahrkarten-fuer-235-euro-in-aachen-warum-diese-facebook-anzeige-nicht-serioes-ist/,Verbraucherthemen
8,Bürgergeld: Erneut führen Grafiken zum Bezug von Geflüchteten in die Irre,FAKTENCHECK,"Immer wieder wird mit Grafiken zum Bürgergeld Stimmung gegen Geflüchtete gemacht. Aktuell kursieren Darstellungen, die ähnlich schon 2023 in Umlauf waren und Nutzerinnen und Nutzer in die Irre führen.",https://correctiv.org/faktencheck/gesellschaft/2025/07/24/buergergeld-erneut-fuehren-grafiken-zum-bezug-von-gefluechteten-in-die-irre/,Migration & Asyl
9,Berlin: Facebook-Seite greift im Namen der BVG Kontodaten ab,FAKTENCHECK,"Sechs Monate VBB-Umweltkarte für 2,35 Euro? Dieses angebliche Angebot der BVG klingt zu schön, um wahr zu sein, und das ist es auch. Wer seine Zahlungsdaten eingibt, wird Opfer einer internationalen Betrugsmasche.",https://correctiv.org/faktencheck/2025/07/22/berlin-facebook-seite-greift-im-namen-der-bvg-kontodaten-ab/,Kriminalität & Sicherheit
10,"Bus und Bahn in Chemnitz: Hinter angeblicher 6-Monat-Karte für 2,35 Euro steckt Phishing",FAKTENCHECK,"Eine Facebook-Seite wirbt für ein Nahverkehrsticket in Chemnitz, die Anzeige richtet sich an Menschen vor Ort. Es gebe 500 Karten zu je sechs Monaten für 2,35 Euro. Die Karten gibt es nicht, dahinter steckt Betrug.",https://correctiv.org/faktencheck/2025/07/22/bus-und-bahn-in-chemnitz-hinter-angeblicher-6-monat-karte-fuer-235-euro-steckt-phishing/,Verbraucherthemen
11,"Nur ein Kreisverband hat Insolvenz angemeldet, nicht das gesamte Deutsche Rote Kreuz",FAKTENCHECK,"Das Deutsche Rote Kreuz soll insolvent sein. So wird es in Sozialen Netzwerken verbreitet. Das stimmt so nicht, lediglich ein Kreisverband in Niedersachsen hat Insolvenz angemeldet. Grundlage der Falschinformation ist eine Clickbait-Überschrift des Karlsruhe Insider.",https://correctiv.org/faktencheck/2025/07/18/nicht-gesamtes-deutsches-rotes-kreuz-insolvent-nur-ein-kreisverband/,Wirtschaft & Soziales
12,"Nein, die Rheinbahn verlost keine 6-Monats-Tickets für 2,35 Euro",FAKTENCHECK,"Ein Facebook-Beitrag wirbt mit „unbegrenzten Fahrten für nur 2,35 Euro“ mit der Rheinbahn in Düsseldorf. Dahinter steckt eine internationale Betrugsmasche, um an persönliche Daten und Kreditkarten-Informationen zu kommen.",https://correctiv.org/faktencheck/2025/07/17/nein-die-rheinbahn-verlost-keine-6-monats-tickets-fuer-235-euro/,Verbraucherthemen
13,Mit welchen Tricks Klimawandelleugner Steve Milloy Temperaturdaten aus den USA verdreht,FAKTENCHECK,"Klimawandelleugner Steve Milloy behauptet, in den USA habe es seit 2012 keine „globale Erwärmung“ gegeben. Das soll eine Grafik der US-Wetterbehörde NOAA belegen. Warum das nicht stimmt, erklären wir im Faktencheck.",https://correctiv.org/faktencheck/2025/07/17/mit-welchen-tricks-klimawandelleugner-steve-milloy-temperaturdaten-aus-den-usa-verdreht/,Umwelt & Klima
14,Tiktok-Video zeigt keinen aktuellen Tornado in Deutschland,FAKTENCHECK,"Ein Tiktok-Video vom 2. Juli soll einen Tornado zeigen, der über Deutschland hinwegfegt. Unser Faktencheck zeigt: Das Videomaterial ist mindestens zwei Jahre alt.",https://correctiv.org/faktencheck/2025/07/09/tiktok-video-zeigt-keinen-aktuellen-tornado-in-deutschland/,Umwelt & Klima
15,Entwicklung der Eismassen in Antarktis und Arktis stellt Klimawandel nicht infrage,FAKTENCHECK,"Gute Nachrichten aus der Klimaforschung? Der ehemalige Hamburger Umweltsenator Fritz Vahrenholt behauptet, das Festland-Eis in der Antarktis am Südpol wachse und der Rückgang des arktischen Meereises am Nordpol sei gestoppt. Dass aber die Eisschilde insgesamt zurückgehen, lässt er aus. Ein Faktencheck.",https://correctiv.org/faktencheck/2025/07/02/eis-antarktis-arktis-waechst-teilweise-insgesamt-geht-es-zurueck-suedpol-nordpol-klimawandel/,Umwelt & Klima
16,KI-Videos auf Tiktok verbreiten Fake zu angeblichem „internationalen“ Soli-Zuschlag,FAKTENCHECK,"In mehreren Videos auf Tiktok wird behauptet, ab August 2025 werde in Deutschland ein Solidaritätszuschlag erhoben. Damit sollten von Krieg betroffene Länder wie die Ukraine, Israel oder der Iran unterstützt werden, heißt es in den Beiträgen, die KI-generierte Bilder von Friedrich Merz nutzen. Doch die vermeintliche Nachricht ist ausgedacht.",https://correctiv.org/faktencheck/2025/06/30/ki-videos-auf-tiktok-verbreiten-fake-zu-angeblichem-internationalen-soli-zuschlag/,Wirtschaft & Soziales
17,"Nein, Regierung und Kanzler wollen keine Pflicht zur Wohnraumteilung mit Geflüchteten",FAKTENCHECK,"In Beiträgen auf Telegram und X heißt es, Menschen sollten verpflichtet werden, den eigenen Wohnraum mit Geflüchteten zu teilen. Doch ein vermeintliches Zitat dazu von Friedrich Merz ist nicht echt und die Regierung plant nichts derartiges. Hinter der Nachricht steckt ein bekannter Desinformations-Kanal.",https://correctiv.org/faktencheck/2025/06/27/nein-regierung-und-kanzler-wollen-keine-pflicht-zur-wohnraumteilung-mit-gefluechteten/,Migration & Asyl
