id,medium,url,headline,kicker,teaser,llm_topic
130,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/freibad-schwimmbad-randale-101.html,Angstmache am Beckenrand,Freibäder in Berlin,"Glaubt man Berichten im Netz und in einigen Medien, kann man Freibäder in Berlin kaum noch betreten. Die AfD veröffentlichte nun ein Video über ein angebliches ""Chaosbad"". Betreiber und Polizei widersprechen.",Kriminalität in Freibädern
366,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/oesterreich-alternative-medien-101.html,"""Völkische Entwicklungshilfe"" aus Österreich",Sender AUF1,Der österreichische rechtsalternative Sender AUF1 verbreitet zum Teil rechtsextreme und verschwörungsideologische Inhalte. Deutschland rückt dabei immer mehr in den Fokus der Berichterstattung.,Rechtsextremismus
476,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/russland-afrika-desinformation-100.html,Russlands Strategie für Afrika,Desinformation,"In mehreren afrikanischen Ländern versucht Russland, seinen Einfluss auszuweiten - in politisch fragilen Staaten durchaus mit Erfolg, sagen Experten. Eine wichtige Rolle dabei spielt die Wagner-Gruppe.",Russische Einflussnahme in Afrika
464,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/wahl-russland-desinformation-100.html,Der Schein einer Wahl,Russland,Bei ausländischen Wahlen spielt Desinformation aus Russland oft eine Rolle. Für die nun anstehende Abstimmung im eigenen Land gibt es laut Experten aber keine Kampagne. Das liegt vor allem am System von Präsident Putin.,Russische Präsidentschaftswahl
461,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/russland-sanktionen-eu-114.html,Die Sanktionen wirken - und nutzen dennoch wenig,Russland,Vor mehr als zwei Jahren verhängte die EU ihr erstes großes Sanktionspaket gegen Russland nach dessen Invasion in die Ukraine - zwölf weitere folgten. Dennoch wächst die russische Wirtschaft weiter. Wie kommt das?,Russland-Sanktionen
475,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/suedafrika-desinformation-100.html,Deep Fakes und fremdenfeindliche Narrative,Wahl in Südafrika,"Manipulierte Videos, russische Einflussnahme und fremdenfeindliche Rhetorik erschüttern Südafrikas politische Landschaft vor den heutigen Wahlen. Mehrere Faktoren machen die Bevölkerung besonders anfällig für Desinformation.",Desinformation
435,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/sommerinterview-chrupalla-afd-100.html,Das ARD-Sommerinterview mit Chrupalla im Faktencheck,AfD-Vorsitzender,Im ARD-Sommerinterview hat AfD-Chef Chrupalla zum Teil mit falschen Zahlen argumentiert. Zudem ließen sich einige Forderungen rechtlich gar nicht umsetzen. Die Aussagen im Faktencheck.,Migration
445,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/michelle-obama-desinformation-fakes-100.html,Die Angst vor mächtigen Frauen,Trans- und Frauenfeindlichkeit,"Michelle Obama, Brigitte Macron oder auch Neuseelands Ex-Premierministerin Jacinda Ardern: Sie alle wurden Zielscheibe transfeindlicher Desinformation - weil sie mächtige Frauen sind.",Desinformation
444,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/wahlmanipulation-europawahl-100.html,Wenig Einsprüche gegen Europawahl,Angebliche Wahlmanipulation,In rechtsextremen und verschwörungsideologischen Kreisen wurden zur Europawahl zahlreiche Belege für angebliche Wahlmanipulation verbreitet. Die offizielle Zahl der Einsprüche ist jedoch sehr gering.,Europawahl
425,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/merz-syrien-afghanistan-100.html,Falsche Aussage von Merz über Geflüchtete,Syrien und Afghanistan,"Auf einer Pressekonferenz hat CDU-Chef Merz behauptet, dass Deutschland in Relation zur Größe weltweit die meisten Geflüchteten aus Syrien und Afghanistan aufgenommen hat. Das stimmt aber nicht.",Geflüchtete
417,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/straftaten-sexuelle-selbstbestimmung-100.html,Warum die Zahl der Sexualstraftaten gestiegen ist,Irreführende Grafik,"Im Netz wird eine Grafik geteilt, die einen starken Anstieg der Sexualstraftaten in den vergangenen Jahren zeigt. Allerdings wurde das Strafrecht in der Zeit mehrmals geändert, weshalb ein Vergleich kaum möglich ist.",Sexualstrafrecht
416,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/ampelkoalition-116.html,Von der Ampel zum Great Reset,Gerüchte zum Koalitionsende,"Rund um den Bruch der Ampelkoalition werden in den sozialen Netzwerken Videos aus dem Zusammenhang gerissen, manipulierte Fotos geteilt und Gerüchte gestreut. Nicht alle sind harmlos.",Verschwörungstheorien
334,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/zucker-weizen-alternativen-100.html,Zuckeralternativen sind nicht zwingend gesünder,Gesundheitsmythen,"Besonders in der Weihnachtszeit wird viel gebacken. Um vermeintlich gesünder zu essen, verzichten einige dabei auf raffinierten Zucker - und ersetzen ihn durch Alternativen wie Honig. Ein Trugschluss, sagen Experten.",Ernährung
377,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/rechte-ki-influencer-100.html,"Rechts, weiblich, Fake",Künstliche Intelligenz im Wahlkampf,"Profile von vermeintlichen jungen Frauen mischen im Wahlkampf mit. Sie äußern sich politisch eher rechts und geben an, die AfD bei der Bundestagswahl zu wählen. Das Problem: Sie sind KI-generiert.",Künstliche Intelligenz
337,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/usa-trump-ukraine-106.html,Welche Behauptungen von Trump falsch sind,Krieg gegen die Ukraine,"Seit Wochen übt US-Präsident Trump Druck auf die Ukraine und ihren Präsidenten Selenskyj aus. Dabei stellt er zahlreiche Falschbehauptungen auf, um Selenskyj zu diskreditieren und die Rolle der USA zu überhöhen.",Ukraine-Krieg
350,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/prognos-umfragen-prgonosen-102.html,Wie man sich eine Wahl projiziert,Zweifelhafte Umfrageergebnisse,"Ein X-Account veröffentlicht ""Projektionen"" zu den voraussichtlich 2029 stattfindenden Bundestags- und Europawahlen. Obwohl er nicht zum ersten Mal mit zweifelhaftem Vorgehen auffällt, erzielt er damit Aufmerksamkeit.",Wahlumfragen
324,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/iran-israel-fakes-100.html,KI-generierte Fakes und alte Videos im Umlauf,Krieg in Nahost,"Die Eskalation zwischen Israel und dem Iran wird von vielen Falschbehauptungen im Netz begleitet. Vor allem KI-generierte Bilder und Videos befinden sich darunter, aber auch Material, das in anderem Zusammenhang entstanden ist.",Desinformation
338,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/religioese-fussball-influencer-100.html,Wie religiöse Organisationen Fußball-Profis für ihre Missionsarbeit nutzen,Social Media,"Einige Fußballprofis zeigen ihren Fans gerne, wie wichtig ihnen ihr Glaube ist. Die Wirkung dieser Stars auf junge Zielgruppen nutzen einige Organisationen auch für die Missionierung auf Social Media oder in Schulen. Zwei dieser Organisationen haben Verbindungen zu evangelikalen Kirchen mit teils fragwürdigen Ansichten.",Evangelikalismus
629,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/todesgeruechte-trump-100.html,N/A,N/A,"""Wie haben Sie herausgefunden, dass Sie tot sind?"", fragt ein Journalist kürzlich bei einer Pressekonferenz den US-amerikanischen Präsidenten. ""Haben Sie das mitbekommen?"" Trump verneint erst, sagt dann jedoch, dass er davon gehört habe und es ""verrückt"" sei.",Gesundheit von Politikern
622,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/fakes-selenskyj-100.html,N/A,N/A,"""Der Warlord lebt auf großem Fuss!"" - schreibt ein reichweitenstarker Nutzer auf der Plattform X. Dazu postet er ein Bild des ukrainischen Präsidenten Wolodymyr Selenskyj neben dem Präsidenten des Europäischen Rates, António Costa. Der Fokus des Bildes liegt auf den Schuhen des ukrainischen Präsidenten, die extra in einem Bildausschnitt hervorgehoben werden. Zu sehen sind sehr hohe Absätze, mit denen sich Selenskyj offenbar größer machen möchte, so der Tenor. Doch das Bild ist ein Fake.",Desinformation
241,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/wie-rede-ich-mit-freunden-und-familie-ueber-falschmeldungen,S2dGv0s",Wie rede ich mit Freunden und Familie über Falschmeldungen?,N/A,Über Whatsapp oder auf der Straße – wohl die meisten von uns haben in der Corona-Krise schon zweifelhafte Informationen oder Verschwörungsmythen von Freunden oder Verwandten geschickt bekommen. Wie kann man damit umgehen? Ein #Faktenfuchs,Desinformation
315,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/ukraine-krieg-fehlinformationenauch-ueber-den-konflikt-hinaus,Sz7E4JR",Ukraine-Krieg: Fehlinformationen auch über den Konflikt hinaus,N/A,"Neben den Bildern und Informationen aus der Ukraine, die häufig nicht verifiziert sind, verbreiten sich auch andere Fehlinformationen rund um den Krieg im Netz. Der #Faktenfuchs schaut auf drei Beispiele und erklärt häufige Phänomene.",Ukraine-Krieg
300,br-faktenfuchs,"https://www.br.de/nachrichten/wissen/faktenfuchs-sterben-voegel-durch-windraeder,TAntN2S",Sterben Vögel durch Windräder?,N/A,"Vögel sterben durch Windräder - das behaupten Windkraft-Gegner. Doch selbst Vogelschützer warnen, Klima- und Artenschutz gegeneinander auszuspielen. Wie gefährlich Windräder für Vögel sind, klärt der dritte Teil der #Faktenfuchs-Serie zur Windkraft.",Windkraft
309,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/volle-flixbusse-kein-beleg-fuer-sozialbetrug-von-ukrainern-faktenfuchs,THrjfYm",Keine Belege für Sozialbetrug von Ukrainern,N/A,"Im Netz verbreitet sich die Falschbehauptung, viele Ukrainer kämen nur nach Deutschland, um das Sozialsystem auszunutzen. Auch CDU-Chef Merz behauptete dies kürzlich. Dafür gibt es aber keine Belege, wie dieser #Faktenfuchs zeigt.",Sozialbetrug
284,br-faktenfuchs,"https://www.br.de/nachrichten/netzwelt/wie-einige-finanz-youtuber-verschwoerungstheorien-bedienen,TYgEitl",Wie einige Finanz-Youtuber Verschwörungstheorien bedienen,N/A,"Great Reset und Geldanlage: Mehrere Youtuber, die sich vordergründig mit Finanzthemen befassen, knüpfen auf ihren Kanälen an Verschwörungstheorien an und schüren Ängste. Dahinter steckt laut Experten ein Geschäftsmodell. Eine #Faktenfuchs-Recherche.",Verschwörungstheorien
280,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-warum-sich-manche-erd-regionen-schneller-aufwaermen,TcdEfeO",Warum sich manche Erdregionen schneller aufwärmen,N/A,"Immer wieder berichten Medien über einzelne Gegenden, die sich im Zuge des Klimawandels deutlich schneller erwärmen als ""der Rest der Welt"". Auf Social Media halten User das für Fake News. Kann die Aussage für so viele Regionen gleichzeitig stimmen?",Klimawandel
264,br-faktenfuchs,"https://www.br.de/nachrichten/wissen/faktenfuchs-messergewalt-und-migration-was-statistik-und-forschung-aussagen,Tpva7EK",Messergewalt und Migration: Was Statistik und Forschung aussagen,N/A,Messerangriffe werden oft mit Migranten in Verbindung gebracht. Doch weder Kriminalstatistiken der Polizei noch Studien können dies aktuell untermauern. Auch sind die Daten nur bedingt aussagekräftig. Ein #Faktenfuchs.,Messerkriminalität
262,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/falsche-news-videos-machen-stimmung-gegen-ukrainer-faktenfuchs,Tx1AxVh",Falsche News-Videos machen Stimmung gegen Ukrainer,N/A,"In sozialen Netzwerken kursieren mehrere gefälschte Videos im Stil seriöser Medien, darunter eines, das vorgibt, von BR24 zu sein. In den Fake-Videos werden gezielt ukrainische Geflüchtete diskreditiert. Wie man Fälschungen erkennt: ein #Faktenfuchs.",Desinformation
